85,202747,187438,56.99,220280.0929,8.16750072,199471,6.419405609,36593.2371,1613,256873.33,156900,10%,50,70,3138,196333,Luxury,36593.24,1.0
13,283189,270631,41.39,232186.9177,4.640266636,288443,6.581580196,131550.6565,1161,363737.5742,506219,10%,49,68.6,10331,278112,Confection,131550.66,1.0
46,262870,255448,46.63,245071.7758,2.905483699,267048,4.540834521,261626.8306,1100,506698.6064,396390,10%,73,102.2,5430,261618,Luxury,261626.83,1.0
23,198040,182614,70.98,272912.8246,8.447326054,201877,10.54824302,89204.6556,1493,362117.4802,395044,10%,71,99.4,5564,196313,Drink,89204.66,1.0
189,301035,288803,17.76,103627.672,4.235413067,294827,2.085557508,67049.6964,1222,170677.3684,-12980,10%,22,30.8,-590,295417,Meat,67049.7,1.0
107,285807,263071,18.6,107346.156,8.642533765,281154,6.873636265,282832.7016,1061,390178.8576,933606,10%,54,75.6,17289,263865,Drink,282832.7,1.0
112,277743,257835,6.19,33889.2465,7.721217057,277048,7.451662879,108120.6495,1198,142009.896,112960,10%,20,28,5648,271400,Drink,108120.65,1.0
47,130159,122144,48.1,120342.365,6.561926906,128130,4.900729313,52529.243,1176,172871.608,-52572,10%,52,72.8,-1011,129141,Luxury,52529.24,1.0
119,263615,260932,10.83,58637.3841,1.028237242,266990,2.321468485,236081.7399,1510,294719.124,197190,10%,42,58.8,4695,262295,Meat,236081.74,1.0
175,311353,298261,24.23,147590.7263,4.389444145,311718,4.511519426,14475.2897,1268,162066.016,97960,10%,20,28,4898,306820,Luxury,14475.29,1.0
52,129107,118232,36.18,88466.947,9.198017457,126400,6.90776383,25209.133,1785,113676.08,121345,10%,35,49,3467,122933,Luxury,25209.13,1.0
102,109385,106849,10.26,24464.9162,2.373442896,111365,4.226474164,207461.8838,1048,231926.8,238160,10%,80,112,2977,108388,Luxury,207461.88,1.0
147,175394,160104,16.53,64529.1441,9.550042472,175726,9.756881842,376575.6123,1898,441104.7564,1082367,10%,99,138.6,10933,164793,Confection,376575.61,1.0
136,224596,210727,60.55,263943.364,6.581501184,222144,5.417613614,241985.5672,1355,505928.9312,589864,10%,88,123.2,6703,215441,Luxury,241985.57,1.0
34,267969,259752,65.85,348718.1485,3.163402014,268464,3.353942322,212815.8035,1770,561533.952,502000,10%,80,112,6275,262189,Meat,212815.8,1.0
118,282522,247539,13.06,81296.3858,14.13231854,278303,12.42766583,385838.5888,1936,467134.9746,1567733,10%,67,93.8,23399,254904,Drink,385838.59,1.0
86,201386,190106,55.37,220116.0059,5.933531819,204791,7.72463699,146813.5361,1101,366929.542,699300,10%,70,98,9990,194801,Drink,146813.54,1.0
6,156232,148885,69.85,212650.6555,4.93468113,153487,3.090634798,181145.3121,1486,393795.9676,502642,10%,98,137.2,5129,148358,Meat,181145.31,1.0
116,249930,243581,24.3,123239.319,2.606525139,253844,4.213207884,326143.3322,1032,449382.6512,368016,10%,68,95.2,5412,248432,Luxury,326143.33,1.0
188,236099,217516,27.7,128016.813,8.543279575,234686,7.893570929,166094.2994,1537,294111.1124,634207,10%,49,68.6,12943,221743,Confection,166094.3,1.0
91,301002,294216,33.74,201492.007,2.306468717,300810,2.241104999,344244.863,1187,545736.87,142899,10%,69,96.6,2071,298739,Meat,344244.86,1.0
150,128471,123023,85.23,215285.0158,4.42844021,128994,4.853118715,109436.685,1030,324721.7008,404587,10%,97,135.8,4171,124823,Luxury,109436.69,1.0
157,132163,119511,7.58,26052.2556,10.58647321,129751,8.567819062,281593.2882,1403,307645.5438,779340,10%,93,130.2,8380,121371,Drink,281593.29,1.0
74,271184,257914,34.53,186458.3706,5.145125895,274357,6.375327496,280009.4466,1689,466467.8172,558954,10%,66,92.4,8469,265888,Luxury,280009.45,1.0
115,186989,184373,61.51,230148.3501,1.418862849,189494,2.777007158,107733.2051,1212,337881.5552,191488,10%,68,95.2,2816,186678,Meat,107733.21,1.0
98,222937,216438,76.77,337795.798,3.002707473,222911,2.990322277,228568.8302,1324,566364.6282,243373,10%,97,135.8,2509,220402,Meat,228568.83,1.0
149,222797,206680,16.98,73619.8832,7.798045287,220996,6.926615838,74009.9264,1335,147629.8096,288392,10%,26,36.4,11092,209904,Confection,74009.93,1.0
20,176802,164984,11.02,48754.247,7.163118848,179018,8.50572966,330174.1854,1370,378928.4324,1250561,10%,83,116.2,15067,163951,Drink,330174.19,1.0
117,154216,147958,50.21,150667.0021,4.229578664,151897,2.662030388,116349.0493,1224,267016.0514,43818,10%,67,93.8,654,151243,Meat,116349.05,1.0
200,217102,206186,10.88,51662.3456,5.294248882,219207,6.315132815,338091.8962,1162,389754.2418,638664,10%,69,96.6,9256,209951,Confection,338091.9,1.0
185,210488,198550,70.05,288128.5845,6.012591287,211550,6.546991668,163825.5055,1595,451954.09,547053,10%,83,116.2,6591,204959,Luxury,163825.51,1.0
142,116872,113208,28.71,67273.5878,3.236520387,115918,2.39304076,176364.7162,1110,243638.304,232640,10%,80,112,2908,113010,Meat,176364.72,1.0
140,311706,294314,6.21,43282.5433,5.909334928,311990,6.00550664,544474.7667,1123,587757.31,615463,10%,73,102.2,8431,303559,Confection,544474.77,1.0
170,273153,264029,52.28,280159.1056,3.455681005,271029,2.650895444,345641.5776,1449,625800.6832,106128,10%,88,123.2,1206,269823,Meat,345641.58,1.0
190,283797,278084,41.55,235138.4625,2.054415213,286677,3.08986201,125116.2351,1789,360254.6976,357408,10%,48,67.2,7446,279231,Meat,125116.24,1.0
163,122911,117296,81.17,194145.5277,4.787034511,121721,3.77185651,75799.9033,1775,269945.431,300560,10%,85,119,3536,118185,Meat,75799.9,1.0
66,154246,142595,16.44,53533.1644,8.170693222,153669,7.765976653,221745.9936,1967,275279.158,630910,10%,70,98,9013,144656,Luxury,221745.99,1.0
198,281239,264383,69.04,382734.6728,6.375599036,286808,8.481788863,268313.0364,1926,651047.7092,977576,10%,89,124.6,10984,275824,Luxury,268313.04,1.0
79,160299,152878,15.57,47264.1972,4.854197465,157428,2.976032868,352752.6284,1795,400016.8256,-125130,10%,97,135.8,-1290,158718,Meat,352752.63,1.0
162,117515,115250,9.46,23576.0778,1.965292842,117982,2.369725187,283331.169,1473,306907.2468,167211,10%,99,138.6,1689,116293,Meat,283331.17,1.0
14,235722,231281,36.82,173111.5998,1.920175025,236773,2.374327235,243713.7448,1151,416825.3446,171855,10%,67,93.8,2565,234208,Meat,243713.74,1.0
35,180541,172223,73.33,259970.3953,4.82978464,181379,5.316138591,181500.3603,1254,441470.7556,306534,10%,94,131.6,3261,178118,Luxury,181500.36,1.0
100,200017,198315,48.5,195118.615,0.858230593,203415,2.571171825,93211.091,1105,288329.706,274482,10%,54,75.6,5083,198332,Meat,93211.09,1.0
1,122762,114957,23.99,60794.1979,6.789495203,123635,7.548720191,145073.7371,1467,205867.935,563615,10%,65,91,8671,114964,Confection,145073.74,1.0
11,227836,212406,65.23,292044.2804,7.264389895,230304,8.426222603,283756.1308,1194,575800.4112,976276,10%,98,137.2,9962,220342,Drink,283756.13,1.0
104,238979,227452,45.96,217582.6624,5.067882454,237940,4.610862051,307918.9576,1105,525501.62,803080,10%,85,119,9448,228492,Luxury,307918.96,1.0
187,170605,164237,5.47,21551.5428,3.877323624,171748,4.572679945,192688.9116,1311,214240.4544,358128,10%,48,67.2,7461,164287,Luxury,192688.91,1.0
122,227428,220144,34.27,155396.0224,3.308743368,229945,4.451715427,149549.4506,1080,304945.473,350727,10%,51,71.4,6877,223068,Luxury,149549.45,1.0
26,227949,214546,5.08,23151.1468,6.247145134,227075,5.839507655,111739.0002,1004,134890.147,92000,10%,23,32.2,4000,223075,Confection,111739.0,1.0
155,110252,100751,39.42,85219.219,9.430179353,110414,9.590616275,122108.8306,1807,207328.0496,423280,10%,74,103.6,5720,104694,Confection,122108.83,1.0
114,291731,290463,53.77,316035.1867,0.436544414,297772,2.51603079,74885.2733,1098,390920.46,343200,10%,50,70,6864,290908,Meat,74885.27,1.0
171,175007,152134,39.3,127223.124,15.03477198,171201,12.53290999,52831.2372,1922,180054.3612,237174,10%,42,58.8,5647,165554,Drink,52831.24,1.0
83,175177,165781,53.35,186036.779,5.667718255,177029,6.784549051,191737.6712,1695,377774.4502,881128,10%,83,116.2,10616,166413,Luxury,191737.67,1.0
33,294010,259693,49.54,281931.0214,13.21444937,290413,11.82924225,432969.747,1766,714900.7684,1902670,10%,98,137.2,19415,270998,Drink,432969.75,1.0
166,224314,212701,25.4,117693.928,5.45977687,227755,7.077493858,297480.489,1826,415174.417,905889,10%,71,99.4,12759,214996,Luxury,297480.49,1.0
109,152261,145039,15.72,45931.8384,4.979350382,148973,2.712247182,83019.153,1680,128950.9914,-54780,10%,33,46.2,-1660,150633,Meat,83019.15,1.0
90,292167,281639,28.05,161985.2855,3.738118655,293430,4.186442171,166541.7665,1055,328527.052,195134,10%,43,60.2,4538,288892,Luxury,166541.77,1.0
127,192427,185960,7.71,32761.0392,3.477629598,193628,4.123335992,330345.9624,1042,363107.0016,391392,10%,72,100.8,5436,188192,Luxury,330345.96,1.0
113,268981,242930,29.77,161209.7482,10.72366525,267354,10.05354402,326207.2406,1535,487416.9888,1585296,10%,72,100.8,22018,245336,Drink,326207.24,1.0
143,133218,127655,11.05,28638.713,4.357839489,130974,2.599326763,177607.831,1634,206246.544,7380,10%,60,84,123,130851,Meat,177607.83,1.0
148,187619,179743,66.17,242022.1692,4.381811809,185743,3.337755462,165945.99,1714,407968.1592,84840,10%,84,117.6,1010,184733,Meat,165945.99,1.0
154,223213,221328,64.59,289732.9983,0.851677149,227434,2.758468552,80051.1465,1087,369784.1448,292950,10%,62,86.8,4725,222709,Meat,80051.15,1.0
123,133701,123504,17.2,52672.2,8.256412748,133080,7.753151255,281102.472,1543,333774.672,1035762,10%,98,137.2,10569,122511,Confection,281102.47,1.0
31,190111,185443,63.46,240811.4092,2.517215533,194466,4.86526689,51884.0596,1110,292695.4688,296206,10%,58,81.2,5107,189359,Luxury,51884.06,1.0
178,194682,180471,24.04,98685.7836,7.874395332,193796,7.382988416,348472.3404,1881,447158.124,1188720,10%,90,126,13208,180588,Luxury,348472.34,1.0
42,288495,273683,50.64,287542.7944,5.412100861,286992,4.862688129,352956.0688,1255,640498.8632,879694,10%,86,120.4,10229,276763,Luxury,352956.07,1.0
139,248394,236553,27.06,133297.0492,5.005643556,250829,6.035003959,106173.8846,1642,239470.9338,525400,10%,37,51.8,14200,236629,Luxury,106173.88,1.0
181,200986,189386,31.13,126808.7786,6.125056762,199566,5.3752335,369121.039,1466,495929.8176,847680,10%,96,134.4,8830,190736,Luxury,369121.04,1.0
61,274833,253583,32.96,180636.5264,8.379899283,277934,9.602761417,503420.1224,1830,684056.6488,825276,10%,97,135.8,8508,269426,Confection,503420.12,1.0
92,272779,257857,34.62,187141.242,5.786928414,276789,7.341837109,189028.3462,1844,376169.5882,590208,10%,53,74.2,11136,265653,Luxury,189028.35,1.0
72,123773,111106,35.8,86534.352,11.40082444,124733,12.26456213,213669.1488,1891,300203.5008,335520,10%,96,134.4,3495,121238,Drink,213669.15,1.0
151,144264,140051,21.18,61197.5448,3.008189874,145010,3.540149821,185012.0552,1958,246209.6,121875,10%,65,91,1875,143135,Meat,185012.06,1.0
49,206831,198343,56.07,230121.6749,4.279455287,208957,5.351050973,218880.1217,1346,449001.7966,538919,10%,83,116.2,6493,202464,Luxury,218880.12,1.0
121,318303,286270,41.56,256046.6456,11.18978587,317437,10.88720676,448612.14,1634,704658.7856,975128,10%,88,123.2,11081,306356,Drink,448612.14,1.0
132,270040,265222,12.92,70064.9772,1.816591384,270722,2.073613942,157909.5892,1227,227974.5664,137696,10%,32,44.8,4303,266419,Meat,157909.59,1.0
54,135335,131192,28.94,76839.758,3.157966949,134318,2.382312455,18445.8016,1161,95285.5596,-1620,10%,27,37.8,-60,134378,Meat,18445.8,1.0
45,104393,102895,16.41,34857.8229,1.455853054,105213,2.252776602,97920.4395,1069,132778.2624,107472,10%,48,67.2,2239,102974,Meat,97920.44,1.0
77,186778,169104,8.25,46440.345,10.45155644,186815,10.47324455,406806.855,1652,453247.2,1868256,10%,96,134.4,19461,167354,Drink,406806.86,1.0
172,319282,289998,30.38,190895.691,10.09800068,319884,10.30529926,577702.797,1948,768598.488,825265,10%,95,133,8687,311197,Confection,577702.8,1.0
29,138184,126319,30.63,82200.414,9.392886264,135514,7.278476783,195874.978,1368,278075.392,324240,10%,80,112,4053,131461,Confection,195874.98,1.0
97,146014,143090,23.87,71205.2859,2.043469145,146404,2.3158623,305893.8533,1208,377099.1392,278026,10%,98,137.2,2837,143567,Meat,305893.85,1.0
50,139210,131644,46.69,128952.9637,5.747318526,141624,7.580991092,139480.4379,1387,268433.4016,369630,10%,74,103.6,4995,136629,Confection,139480.44,1.0
8,268134,251072,21.01,110894.8137,6.795660209,263224,4.83966815,264844.8583,1364,375739.672,459745,10%,55,77,8359,254865,Luxury,264844.86,1.0
101,301799,283596,21.68,131187.7756,6.418637781,295848,4.320086665,569332.8452,1177,700520.6208,730457,10%,91,127.4,8027,287821,Luxury,569332.85,1.0
103,106284,102650,14.5,30987.18,3.540185095,107329,4.557945335,97327.3084,1239,128314.4884,78890,10%,46,64.4,1715,105614,Luxury,97327.31,1.0
156,308379,285682,43.61,262708.3949,7.944847768,307252,7.550328702,398449.1539,1432,661157.5488,858900,10%,84,117.6,10225,297027,Confection,398449.15,1.0
68,168443,158395,46.87,155467.7494,6.343634584,168654,6.47642424,196280.453,1660,351748.2024,517347,10%,81,113.4,6387,162267,Luxury,196280.45,1.0
25,298699,274242,7.34,49097.063,8.918035895,294322,7.321821334,305651.6614,1889,354748.7244,872743,10%,47,65.8,18569,275753,Luxury,305651.66,1.0
48,213504,204651,24.51,103166.3559,4.325901168,213973,4.554747159,80352.3795,1195,183518.7354,218295,10%,33,46.2,6615,207358,Luxury,80352.38,1.0
177,309994,286187,32.61,199575.6577,8.318686733,315538,10.25562866,359192.1183,1935,558767.776,627760,10%,70,98,8968,306570,Confection,359192.12,1.0
168,120673,117961,6.54,16259.3216,2.299064945,121932,3.366092135,53872.2168,1940,70131.5384,81158,10%,22,30.8,3689,118243,Meat,53872.22,1.0
